"","x"
"SL257373.genes.results",0
"SL257374.genes.results",0
"SL257376.genes.results",0
"SL257377.genes.results",0
"SL257378.genes.results",0
"SL257379.genes.results",0
"SL257380.genes.results",0
"SL257405.genes.results",0
"SL257408.genes.results",1
"SL257412.genes.results",1
"SL257413.genes.results",0
"SL257414.genes.results",0
"SL257415.genes.results",0
"SL257900.genes.results",0
"SL257901.genes.results",0
"SL257911.genes.results",0
"SL257914.genes.results",0
"SL257931.genes.results",0
"SL257936.genes.results",0
"SL257950.genes.results",1
"SL257951.genes.results",1
"SL257952.genes.results",1
"SL257954.genes.results",0
"SL257956.genes.results",0
"SL257971.genes.results",1
"SL257981.genes.results",0
"SL257999.genes.results",1
"SL258000.genes.results",0
"SL258027.genes.results",0
"SL258028.genes.results",0
"SL258041.genes.results",0
"SL258050.genes.results",0
"SL258053.genes.results",1
"SL258055.genes.results",0
"SL258060.genes.results",1
"SL264894.genes.results",0
"SL264896.genes.results",0
"SL264899.genes.results",0
"SL264900.genes.results",0
"SL264901.genes.results",0
"SL264902.genes.results",0
"SL264921.genes.results",0
"SL264922.genes.results",0
"SL264923.genes.results",0
"SL264925.genes.results",0
"SL264951.genes.results",0
"SL264952.genes.results",0
"SL264970.genes.results",0
"SL264972.genes.results",1
"SL264976.genes.results",0
"SL264977.genes.results",1
"SL271789.genes.results",0
"SL271792.genes.results",0
"SL271795.genes.results",0
"SL271804.genes.results",0
"SL271810.genes.results",0
"SL271818.genes.results",0
"SL271819.genes.results",0
"SL271820.genes.results",0
"SL271822.genes.results",0
"SL271824.genes.results",1
"SL271825.genes.results",0
"SL271833.genes.results",1
"SL271835.genes.results",1
"SL271836.genes.results",0
"SL271837.genes.results",0
"SL271843.genes.results",1
"SL271844.genes.results",0
"SL271853.genes.results",0
"SL271869.genes.results",0
"SL271870.genes.results",0
"SL271871.genes.results",0
"SL271872.genes.results",0
"SL271873.genes.results",0
"SL271874.genes.results",0
"SL271875.genes.results",0
"SL271876.genes.results",0
"SL271881.genes.results",0
"SL271882.genes.results",0
"SL271885.genes.results",0
"SL271887.genes.results",0
"SL271893.genes.results",0
"SL271895.genes.results",0
"SL271897.genes.results",1
"SL271899.genes.results",0
"SL271904.genes.results",1
"SL271906.genes.results",0
"SL271907.genes.results",0
"SL271909.genes.results",1
"SL271914.genes.results",0
"SL271918.genes.results",1
"SL271919.genes.results",0
"SL271920.genes.results",1
"SL271921.genes.results",0
"SL271923.genes.results",0
"SL271924.genes.results",0
"SL271928.genes.results",0
"SL271934.genes.results",0
"SL278536.genes.results",0
"SL278552.genes.results",0
"SL278598.genes.results",0
"SL278609.genes.results",1
"SL278611.genes.results",0
"SL278613.genes.results",1
"SL278614.genes.results",0
"SL278624.genes.results",1
"SL278667.genes.results",1
"SL310653.genes.results",0
"SL310654.genes.results",0
"SL310658.genes.results",0
"SL310659.genes.results",0
"SL310660.genes.results",0
"SL310661.genes.results",0
"SL310662.genes.results",0
"SL310663.genes.results",0
"SL310664.genes.results",0
"SL310665.genes.results",0
"SL310669.genes.results",1
"SL310673.genes.results",0
"SL310674.genes.results",0
"SL310675.genes.results",0
"SL310683.genes.results",0
"SL310684.genes.results",0
"SL310686.genes.results",0
"SL310687.genes.results",0
"SL310688.genes.results",0
"SL310692.genes.results",0
"SL310697.genes.results",0
"SL310698.genes.results",0
"SL310699.genes.results",0
"SL310700.genes.results",0
"SL310719.genes.results",0
"SL310720.genes.results",0
"SL310735.genes.results",0
"SL310743.genes.results",0
"SL310748.genes.results",0
"SL310749.genes.results",0
"SL310750.genes.results",0
"SL310751.genes.results",0
"SL310752.genes.results",0
"SL310757.genes.results",0
"SL310758.genes.results",0
"SL310759.genes.results",1
"SL310760.genes.results",0
"SL310761.genes.results",0
"SL310762.genes.results",1
"SL310763.genes.results",0
"SL310764.genes.results",1
"SL310765.genes.results",0
"SL310766.genes.results",0
"SL310770.genes.results",0
"SL310772.genes.results",0
"SL310778.genes.results",0
"SL310779.genes.results",0
"SL310782.genes.results",0
"SL310783.genes.results",1
"SL310786.genes.results",0
"SL310788.genes.results",0
"SL310791.genes.results",1
"SL310797.genes.results",0
"SL310798.genes.results",0
"SL310799.genes.results",0
"SL310800.genes.results",0
"SL310801.genes.results",1
"SL310802.genes.results",1
"SL310808.genes.results",0
"SL310811.genes.results",0
"SL310812.genes.results",1
"SL310813.genes.results",1
"SL310814.genes.results",0
"SL310816.genes.results",0
"SL310817.genes.results",0
"SL310818.genes.results",1
"SL310819.genes.results",0
"SL310827.genes.results",1
"SL310828.genes.results",1
"SL316590.genes.results",0
"SL316592.genes.results",0
"SL316597.genes.results",0
"SL316605.genes.results",0
"SL316645.genes.results",0
"SL316646.genes.results",1
"SL316652.genes.results",1
"SL316656.genes.results",0
"SL316669.genes.results",0
"SL316671.genes.results",0
"SL316672.genes.results",1
"SL316676.genes.results",0
"SL316680.genes.results",0
"SL316685.genes.results",0
"SL316690.genes.results",0
"SL316691.genes.results",0
"SL316694.genes.results",1
"SL316697.genes.results",1
"SL316698.genes.results",0
"SL316700.genes.results",1
"SL316702.genes.results",0
"SL316706.genes.results",0
"SL316712.genes.results",1
"SL316713.genes.results",0
"SL316725.genes.results",0
"SL316743.genes.results",0
"SL316744.genes.results",0
"SL316746.genes.results",0
"SL316755.genes.results",0
"SL316756.genes.results",0
"SL319127.genes.results",1
"SL319133.genes.results",0
"SL319134.genes.results",0
"SL319135.genes.results",0
"SL319136.genes.results",0
"SL319137.genes.results",0
"SL319159.genes.results",0
"SL319174.genes.results",0
"SL319185.genes.results",1
"SL319189.genes.results",1
"SL319191.genes.results",0
"SL319197.genes.results",0
"SL319199.genes.results",0
"SL319202.genes.results",1
"SL319486.genes.results",1
"SL319487.genes.results",1
"SL319488.genes.results",0
"SL319492.genes.results",1
"SL322849.genes.results",0
"SL322851.genes.results",0
"SL322859.genes.results",1
"SL322861.genes.results",0
"SL322868.genes.results",0
"SL322872.genes.results",0
"SL322888.genes.results",0
"SL322892.genes.results",0
"SL322943.genes.results",0
"SL322944.genes.results",0
"SL322945.genes.results",0
"SL322949.genes.results",0
"SL322951.genes.results",0
"SL322952.genes.results",0
"SL322953.genes.results",0
"SL322957.genes.results",0
"SL322958.genes.results",0
"SL322959.genes.results",0
"SL322965.genes.results",0
"SL322967.genes.results",0
"SL322979.genes.results",0
"SL322990.genes.results",0
"SL322993.genes.results",0
"SL322995.genes.results",0
"SL322999.genes.results",0
"SL323000.genes.results",0
"SL323003.genes.results",0
"SL323005.genes.results",0
"SL323007.genes.results",1
"SL323011.genes.results",0
"SL323013.genes.results",1
"SL323015.genes.results",0
"SL323017.genes.results",0
"SL323022.genes.results",1
"SL323023.genes.results",1
"SL323025.genes.results",0
"SL323026.genes.results",0
"SL323028.genes.results",0
"SL323029.genes.results",0
"SL323030.genes.results",0
"SL323031.genes.results",0
"SL323033.genes.results",0
"SL323034.genes.results",0
"SL323035.genes.results",0
"SL323036.genes.results",0
"SL323037.genes.results",0
"SL323038.genes.results",0
"SL324446.genes.results",0
"SL324447.genes.results",0
"SL324449.genes.results",0
"SL324451.genes.results",0
"SL324452.genes.results",1
"SL324453.genes.results",0
"SL324454.genes.results",1
"SL324455.genes.results",1
"SL324456.genes.results",0
"SL324457.genes.results",1
"SL324458.genes.results",1
"SL324459.genes.results",1
"SL324460.genes.results",0
"SL324469.genes.results",1
"SL324470.genes.results",1
"SL324471.genes.results",1
"SL324472.genes.results",1
"SL324473.genes.results",1
"SL324474.genes.results",1
"SL324475.genes.results",1
"SL324476.genes.results",1
"SL324477.genes.results",0
"SL324479.genes.results",1
"SL324480.genes.results",1
"SL324482.genes.results",1
"SL324483.genes.results",1
"SL324484.genes.results",1
"SL324485.genes.results",1
"SL324486.genes.results",0
"SL324487.genes.results",1
"SL324493.genes.results",1
"SL324494.genes.results",0
"SL324498.genes.results",0
"SL324500.genes.results",1
"SL324501.genes.results",1
"SL324502.genes.results",1
"SL324503.genes.results",1
"SL324504.genes.results",1
"SL324506.genes.results",0
"SL324507.genes.results",1
"SL324508.genes.results",1
"SL324509.genes.results",0
"SL324511.genes.results",0
"SL324514.genes.results",1
"SL324515.genes.results",0
"SL324517.genes.results",1
"SL324518.genes.results",1
"SL324520.genes.results",1
"SL324521.genes.results",1
"SL324522.genes.results",0
"SL324527.genes.results",0
"SL324529.genes.results",1
"SL324534.genes.results",1
"SL324728.genes.results",1
"SL324729.genes.results",0
"SL324730.genes.results",1
"SL324731.genes.results",1
"SL324732.genes.results",1
"SL324733.genes.results",0
"SL324734.genes.results",1
"SL324735.genes.results",0
"SL324737.genes.results",1
"SL324744.genes.results",1
"SL324746.genes.results",1
"SL324747.genes.results",1
"SL324748.genes.results",1
"SL324750.genes.results",1
"SL324751.genes.results",1
"SL324752.genes.results",1
"SL324760.genes.results",1
"SL324761.genes.results",1
"SL324762.genes.results",1
"SL324763.genes.results",1
"SL324764.genes.results",1
"SL324765.genes.results",0
"SL324766.genes.results",1
"SL324767.genes.results",1
"SL324768.genes.results",1
"SL324776.genes.results",1
"SL324777.genes.results",1
"SL324778.genes.results",1
"SL324779.genes.results",1
"SL324780.genes.results",1
"SL324781.genes.results",0
"SL324782.genes.results",1
"SL324783.genes.results",1
"SL324792.genes.results",1
"SL324793.genes.results",1
"SL324794.genes.results",1
"SL324795.genes.results",1
"SL324796.genes.results",1
"SL324797.genes.results",1
"SL324798.genes.results",1
"SL324799.genes.results",0
"SL324802.genes.results",0
"SL324808.genes.results",1
"SL324809.genes.results",1
"SL324810.genes.results",1
"SL324811.genes.results",1
"SL324812.genes.results",1
"SL324813.genes.results",1
"SL324814.genes.results",1
"SL330194.genes.results",0
"SL330198.genes.results",0
"SL330199.genes.results",1
"SL330200.genes.results",0
"SL330201.genes.results",0
