PATIENT_ID	BUFFA_HYPOXIA_SCORE	WINTER_HYPOXIA_SCORE	RAGNUM_HYPOXIA_SCORE
TCGA-A6-6653	37	34	24
TCGA-EI-6512	37	36	22
TCGA-F5-6814	37	38	20
TCGA-D5-7000	37	38	28
TCGA-AZ-4616	37	52	18
TCGA-AA-3526	39	32	26
TCGA-D5-6540	39	34	22
TCGA-A6-2686	39	42	18
TCGA-A6-2682	39	48	26
TCGA-T9-A92H	41	18	26
TCGA-A6-5665	41	42	20
TCGA-DM-A1HB	41	46	20
TCGA-AD-6889	41	48	20
TCGA-AD-A5EJ	41	60	24
