"sample","buffa.score"
"215a1807-5547-47ef-addd-ab10a1ebf22b",-27
"21b6d12d-ec83-4e59-bb0f-3822b78cdcc5",17
"21e5745a-c875-47f1-817a-79e8c1532a2e",-3
"22009a9a-f16b-4d58-98ec-41b5c31a05ba",-3
"220a03f7-7ab6-4233-8f65-7ac5decca4b9",9
"22473e03-80be-4a64-80d4-135f4aabdca8",25
"224e989c-0fac-4578-86fa-4d10f3cc7701",35
"224ecba4-13b9-4019-8910-7dd1ed0dc749",33
"225283d5-26f0-4d60-9ea5-42b0e2bc5d6b",25
"22541a34-1fcb-44fb-9d95-bff4645da6ef",-37
"2297ba46-b1fe-49cb-a1b8-40fb9bcd567a",17
"22b03939-7149-4916-b390-d615f23e44aa",23
"22d6a3b8-dec8-450c-be0f-cc2eeb82b9da",15
"23020371-be9f-45bd-94df-af8087acc4c7",29
"2332aa30-01c3-4d56-b791-a53757c5febd",-31
"233943d3-7e2b-45bc-9bfd-fb94972b585a",19
"234ed7b6-ff8a-4163-b173-3d858b1480aa",-37
"235011d3-170f-48ee-98a9-67d473cf475f",15
"2380f6b7-ba7d-40b7-8dc0-fcceb47fbdb2",-15
"239633be-52a2-423e-ba21-1a3756d99a98",31
"23b8f651-9b0f-4877-a2e3-6aa38361d1c4",27
"23df3d6e-6e76-4281-a363-32ec33c63c04",-9
"2417a92c-2376-4919-8ed4-8ba514b53ef7",21
"247c60cd-7dd1-4c13-919f-ee55475da09b",15
"248b31d9-7ed7-4218-9aa1-63c3a294912b",25
"24c0b854-79c3-436a-87a7-4d0bbfac626a",39
"24e89c39-8afd-4819-a797-d4a270567e33",27
"25055bf4-23ef-498e-ad3b-ec5641d7652d",1
"25255f16-0334-4020-9a14-2214376796e9",17
"252b0138-5ab3-4908-9ca5-380caf3f6b66",-27
"258d400a-c5ca-43ee-9392-ea1f176a3f3c",11
"25991800-7852-4aff-b1cb-8ff8b84c5199",-43
"259b8974-94ae-4479-bc16-8ce0db2d2c0f",17
"25f75de9-48d7-4c5d-86f7-a4decbe0da92",3
"25faab17-ab65-4ae9-a7b5-3111e5369d62",25
"260edc5e-1ca6-4b07-b96d-59594d03ac54",29
"26207ba9-f442-4cfe-97eb-ebd88851979f",17
"265d80d8-1364-4a28-9335-7b236cf9e109",-37
"2663cb5a-24a1-48a8-9ec4-6f48e65602dc",-11
"26789ba4-7d44-4f7b-9749-db37320ff1ff",-23
"267c0844-eeac-482c-9ebb-042237516b24",-11
"26a465b1-0367-4518-8bf5-c932ce1537e3",-37
"26afc34e-493c-4a43-9727-fca71126e20b",-9
"26cebf47-5d30-46f0-b54d-1e950a7915a0",9
"26ebbc69-9b84-4ea6-97bb-54357493b805",7
